Month,C/C++
2004-07-01,10.08
2004-08-01,9.81
2004-09-01,9.63
2004-10-01,9.5
2004-11-01,9.52
2004-12-01,9.56
2005-01-01,9.7
2005-02-01,9.88
2005-03-01,9.88
2005-04-01,9.85
2005-05-01,9.72
2005-06-01,9.46
2005-07-01,9.3
2005-08-01,9.16
2005-09-01,9.07
2005-10-01,8.71
2005-11-01,8.5
2005-12-01,8.38
2006-01-01,8.54
2006-02-01,8.43
2006-03-01,8.37
2006-04-01,8.48
2006-05-01,8.54
2006-06-01,8.66
2006-07-01,8.48
2006-08-01,8.45
2006-09-01,8.31
2006-10-01,8.24
2006-11-01,8.17
2006-12-01,8.19
2007-01-01,8.14
2007-02-01,8.26
2007-03-01,8.26
2007-04-01,8.11
2007-05-01,8.08
2007-06-01,7.92
2007-07-01,8
2007-08-01,7.97
2007-09-01,7.96
2007-10-01,8.06
2007-11-01,8.1
2007-12-01,8.1
2008-01-01,8.12
2008-02-01,8.07
2008-03-01,8.06
2008-04-01,8.03
2008-05-01,7.95
2008-06-01,7.93
2008-07-01,7.89
2008-08-01,7.82
2008-09-01,7.94
2008-10-01,8.1
2008-11-01,8.32
2008-12-01,8.54
2009-01-01,8.56
2009-02-01,8.81
2009-03-01,8.7
2009-04-01,8.67
2009-05-01,8.74
2009-06-01,8.68
2009-07-01,9.02
2009-08-01,9.1
2009-09-01,9.53
2009-10-01,9.79
2009-11-01,9.97
2009-12-01,10.3
2010-01-01,10.53
2010-02-01,10.8
2010-03-01,11.01
2010-04-01,11.3
2010-05-01,11.52
2010-06-01,11.6
2010-07-01,11.53
2010-08-01,11.63
2010-09-01,11.75
2010-10-01,11.86
2010-11-01,11.92
2010-12-01,12.05
2011-01-01,12.35
2011-02-01,12.59
2011-03-01,12.65
2011-04-01,12.63
2011-05-01,12.63
2011-06-01,12.57
2011-07-01,12.56
2011-08-01,12.5
2011-09-01,12.7
2011-10-01,13
2011-11-01,12.79
2011-12-01,12.47
2012-01-01,12.05
2012-02-01,11.5
2012-03-01,10.69
2012-04-01,9.74
2012-05-01,9.31
2012-06-01,9.13
2012-07-01,8.86
2012-08-01,8.7
2012-09-01,8.69
2012-10-01,8.77
2012-11-01,8.84
2012-12-01,8.68
2013-01-01,8.74
2013-02-01,8.69
2013-03-01,8.52
2013-04-01,8.39
2013-05-01,8.19
2013-06-01,8.13
2013-07-01,7.95
2013-08-01,7.92
2013-09-01,7.94
2013-10-01,7.89
2013-11-01,8.05
2013-12-01,8.11
2014-01-01,8.15
2014-02-01,8.17
2014-03-01,8.13
2014-04-01,8.11
2014-05-01,8
2014-06-01,7.94
2014-07-01,7.89
2014-08-01,7.86
2014-09-01,7.91
2014-10-01,8.03
2014-11-01,8.08
2014-12-01,8.07
2015-01-01,8.08
2015-02-01,8.03
2015-03-01,7.96
2015-04-01,7.84
2015-05-01,7.66
2015-06-01,7.66
2015-07-01,7.62
2015-08-01,7.64
2015-09-01,7.71
2015-10-01,7.73
2015-11-01,7.78
2015-12-01,7.78
2016-01-01,7.88
2016-02-01,7.83
2016-03-01,7.7
2016-04-01,7.58
2016-05-01,7.56
2016-06-01,7.48
2016-07-01,7.41
2016-08-01,7.37
2016-09-01,7.38
2016-10-01,7.41
2016-11-01,7.53
2016-12-01,7.67
2017-01-01,7.57
2017-02-01,7.62
2017-03-01,7.51
2017-04-01,7.47
2017-05-01,7.31
2017-06-01,7.13
2017-07-01,7.07
2017-08-01,6.96
2017-09-01,6.92
2017-10-01,6.78
2017-11-01,6.64
2017-12-01,6.62
2018-01-01,6.56
2018-02-01,6.46
2018-03-01,6.35
2018-04-01,6.27
2018-05-01,6.24
2018-06-01,6.05
2018-07-01,5.99
2018-08-01,6.02
2018-09-01,6.11
2018-10-01,6.12
2018-11-01,6.14
2018-12-01,6.25
2019-01-01,6.18
2019-02-01,6.12
2019-03-01,6.02
2019-04-01,5.96
2019-05-01,5.9
2019-06-01,5.8
2019-07-01,5.8
2019-08-01,5.76
2019-09-01,5.79
2019-10-01,5.92
2019-11-01,5.94
2019-12-01,6.02
2020-01-01,6.04
2020-02-01,5.96
2020-03-01,5.95
2020-04-01,5.77
2020-05-01,5.75
2020-06-01,5.75
2020-07-01,5.76
2020-08-01,5.74
2020-09-01,5.61
2020-10-01,5.8
2020-11-01,5.99
2020-12-01,6.18
2021-01-01,6.3
2021-02-01,6.52
2021-03-01,6.71
2021-04-01,6.68
2021-05-01,6.65
2021-06-01,6.64
2021-07-01,6.6
2021-08-01,6.5
2021-09-01,6.68
2021-10-01,6.99
2021-11-01,6.99
2021-12-01,7.01
2022-01-01,7.4
