Month,JavaScript
2004-07-01,8.65
2004-08-01,8.78
2004-09-01,8.7
2004-10-01,8.47
2004-11-01,8.51
2004-12-01,8.55
2005-01-01,8.37
2005-02-01,8.12
2005-03-01,8.28
2005-04-01,8.39
2005-05-01,8.25
2005-06-01,8.35
2005-07-01,8.42
2005-08-01,8.63
2005-09-01,8.37
2005-10-01,8.17
2005-11-01,8.23
2005-12-01,8.13
2006-01-01,8.12
2006-02-01,7.98
2006-03-01,8.04
2006-04-01,8.11
2006-05-01,8.29
2006-06-01,8.41
2006-07-01,8.44
2006-08-01,8.4
2006-09-01,8.38
2006-10-01,8.41
2006-11-01,8.47
2006-12-01,8.37
2007-01-01,8.39
2007-02-01,8.41
2007-03-01,8.37
2007-04-01,8.39
2007-05-01,8.29
2007-06-01,8.37
2007-07-01,8.5
2007-08-01,8.61
2007-09-01,8.59
2007-10-01,8.57
2007-11-01,8.45
2007-12-01,8.38
2008-01-01,8.17
2008-02-01,8.02
2008-03-01,8.18
2008-04-01,8.16
2008-05-01,8.32
2008-06-01,8.25
2008-07-01,8.2
2008-08-01,8.01
2008-09-01,7.87
2008-10-01,7.88
2008-11-01,7.77
2008-12-01,7.79
2009-01-01,8.05
2009-02-01,8
2009-03-01,7.94
2009-04-01,7.82
2009-05-01,7.67
2009-06-01,7.79
2009-07-01,7.53
2009-08-01,7.66
2009-09-01,7.7
2009-10-01,7.62
2009-11-01,7.65
2009-12-01,7.47
2010-01-01,7.45
2010-02-01,7.32
2010-03-01,7.31
2010-04-01,7.42
2010-05-01,7.32
2010-06-01,7.37
2010-07-01,7.31
2010-08-01,7.22
2010-09-01,7.15
2010-10-01,6.93
2010-11-01,6.91
2010-12-01,6.79
2011-01-01,6.89
2011-02-01,7
2011-03-01,7.02
2011-04-01,7.13
2011-05-01,7.21
2011-06-01,7.23
2011-07-01,7.1
2011-08-01,7.08
2011-09-01,7.09
2011-10-01,7.14
2011-11-01,7.14
2011-12-01,7.25
2012-01-01,7.3
2012-02-01,7.28
2012-03-01,7.21
2012-04-01,7.17
2012-05-01,7.06
2012-06-01,6.99
2012-07-01,6.9
2012-08-01,6.99
2012-09-01,7.01
2012-10-01,7.04
2012-11-01,7.12
2012-12-01,7.1
2013-01-01,7.15
2013-02-01,7.08
2013-03-01,7.12
2013-04-01,7.22
2013-05-01,7.35
2013-06-01,7.55
2013-07-01,7.62
2013-08-01,7.76
2013-09-01,7.76
2013-10-01,7.6
2013-11-01,7.48
2013-12-01,7.34
2014-01-01,7.36
2014-02-01,7.38
2014-03-01,7.6
2014-04-01,7.7
2014-05-01,7.81
2014-06-01,7.82
2014-07-01,7.81
2014-08-01,7.66
2014-09-01,7.57
2014-10-01,7.49
2014-11-01,7.39
2014-12-01,7.36
2015-01-01,7.36
2015-02-01,7.39
2015-03-01,7.32
2015-04-01,7.37
2015-05-01,7.45
2015-06-01,7.5
2015-07-01,7.47
2015-08-01,7.54
2015-09-01,7.5
2015-10-01,7.54
2015-11-01,7.44
2015-12-01,7.5
2016-01-01,7.65
2016-02-01,7.63
2016-03-01,7.76
2016-04-01,7.74
2016-05-01,7.75
2016-06-01,7.8
2016-07-01,7.76
2016-08-01,7.72
2016-09-01,7.73
2016-10-01,7.75
2016-11-01,7.93
2016-12-01,8
2017-01-01,8.1
2017-02-01,8.09
2017-03-01,8.17
2017-04-01,8.29
2017-05-01,8.34
2017-06-01,8.33
2017-07-01,8.35
2017-08-01,8.46
2017-09-01,8.44
2017-10-01,8.35
2017-11-01,8.27
2017-12-01,8.29
2018-01-01,8.24
2018-02-01,8.26
2018-03-01,8.25
2018-04-01,8.32
2018-05-01,8.34
2018-06-01,8.41
2018-07-01,8.45
2018-08-01,8.43
2018-09-01,8.37
2018-10-01,8.34
2018-11-01,8.29
2018-12-01,8.17
2019-01-01,8.19
2019-02-01,8.13
2019-03-01,8.16
2019-04-01,8.22
2019-05-01,8.26
2019-06-01,8.27
2019-07-01,8.17
2019-08-01,8.14
2019-09-01,8.07
2019-10-01,8.06
2019-11-01,8.07
2019-12-01,8.01
2020-01-01,8.12
2020-02-01,8.04
2020-03-01,8.03
2020-04-01,8
2020-05-01,7.93
2020-06-01,8.01
2020-07-01,7.97
2020-08-01,8.19
2020-09-01,8.35
2020-10-01,8.41
2020-11-01,8.51
2020-12-01,8.58
2021-01-01,8.47
2021-02-01,8.54
2021-03-01,8.47
2021-04-01,8.59
2021-05-01,8.78
2021-06-01,8.87
2021-07-01,9.17
2021-08-01,9.3
2021-09-01,9.54
2021-10-01,9.34
2021-11-01,9.31
2021-12-01,9.1
2022-01-01,9.07
